Country,LabourForceParticipation,UnpaidCareWorkTimeMale
Belarus,74.845,9.514
Brazil,73.1,5.133
Bhutan,72.419,5.903
Canada,69.363,9.583
Switzerland,72.863,10.804
Chile,71.401,9.854
Colombia,76.446,2.928
Costa Rica,69.723,8.379
Dominican Republic,76.87,3.786
Fiji,76.994,5.195
Guatemala,87.265,2.605
Japan,71.4,3.125
Kazakhstan,74.6,6.25
Mexico,76.353,11.112
North Macedonia,61.54,5.417
Mongolia,68.874,7.596
Portugal,62.895,10.241
Paraguay,82.841,4.27
El Salvador,78.099,7.029
Serbia,65.5,8.69
Thailand,76.614,3.75
Uganda,84.256,7.5
