name,confHigh,confLow,estimate,gender,t_es
United Kingdom,0.0351,-0.0021,0.0165,male,-5
United Kingdom,0.0349,-0.0109,0.012,female,-5
United Kingdom,0.0311,-0.0047,0.0132,male,-4
United Kingdom,0.0374,-0.0069,0.0153,female,-4
United Kingdom,0.0276,-0.0073,0.0102,male,-3
United Kingdom,0.0315,-0.0112,0.0101,female,-3
United Kingdom,0,0,0,male,-2
United Kingdom,0,0,0,female,-2
United Kingdom,0.0058,-0.0281,-0.0111,male,-1
United Kingdom,0.0197,-0.0201,-0.0002,female,-1
United Kingdom,0.0354,0.0032,0.0193,male,0
United Kingdom,-0.7289,-0.7656,-0.7472,female,0
United Kingdom,0.0348,0.0036,0.0192,male,1
United Kingdom,-0.2319,-0.2709,-0.2514,female,1
United Kingdom,0.0283,-0.0023,0.013,male,2
United Kingdom,-0.3062,-0.3439,-0.3251,female,2
United Kingdom,0.0252,-0.0053,0.0099,male,3
United Kingdom,-0.3219,-0.3588,-0.3404,female,3
United Kingdom,0.0137,-0.017,-0.0016,male,4
United Kingdom,-0.2981,-0.3343,-0.3162,female,4
United Kingdom,0.0169,-0.0135,0.0017,male,5
United Kingdom,-0.2846,-0.32,-0.3023,female,5
United Kingdom,0.0087,-0.0221,-0.0067,male,6
United Kingdom,-0.2698,-0.3048,-0.2873,female,6
United Kingdom,0.0017,-0.0292,-0.0137,male,7
United Kingdom,-0.2643,-0.299,-0.2816,female,7
United Kingdom,0.005,-0.0259,-0.0104,male,8
United Kingdom,-0.2555,-0.2896,-0.2725,female,8
United Kingdom,0.0094,-0.0215,-0.006,male,9
United Kingdom,-0.2521,-0.2861,-0.2691,female,9
United Kingdom,-0.0089,-0.0405,-0.0247,male,10
United Kingdom,-0.2597,-0.2932,-0.2764,female,10
