"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Total","Age (Aggregate bands): Total","2024",62.209,
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Male","Age (Aggregate bands): Total","2024",71.797,
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Female","Age (Aggregate bands): Total","2024",52.935,
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Total","Age (Aggregate bands): Total","2023",62.286,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Male","Age (Aggregate bands): Total","2023",71.944,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Female","Age (Aggregate bands): Total","2023",52.957,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Total","Age (Aggregate bands): Total","2022",61.484,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Male","Age (Aggregate bands): Total","2022",71.453,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Female","Age (Aggregate bands): Total","2022",51.868,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Total","Age (Aggregate bands): Total","2021",60.358,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Male","Age (Aggregate bands): Total","2021",70.836,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Female","Age (Aggregate bands): Total","2021",50.26,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Total","Age (Aggregate bands): Total","2020",56.023,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Male","Age (Aggregate bands): Total","2020",65.925,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Female","Age (Aggregate bands): Total","2020",46.486,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Total","Age (Aggregate bands): Total","2019",60.289,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Male","Age (Aggregate bands): Total","2019",70.981,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Female","Age (Aggregate bands): Total","2019",50,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Total","Age (Aggregate bands): Total","2018",59.595,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Male","Age (Aggregate bands): Total","2018",70.466,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Female","Age (Aggregate bands): Total","2018",49.146,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Total","Age (Aggregate bands): Total","2017",58.808,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Male","Age (Aggregate bands): Total","2017",70.414,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Female","Age (Aggregate bands): Total","2017",47.666,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Total","Age (Aggregate bands): Total","2016",59.02,
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Male","Age (Aggregate bands): Total","2016",70.948,
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Female","Age (Aggregate bands): Total","2016",47.582,
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Total","Age (Aggregate bands): Total","2015",59.232,
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Male","Age (Aggregate bands): Total","2015",71.478,
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Female","Age (Aggregate bands): Total","2015",47.498,
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Total","Age (Aggregate bands): Total","2014",59.444,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Male","Age (Aggregate bands): Total","2014",72.007,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Female","Age (Aggregate bands): Total","2014",47.418,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Total","Age (Aggregate bands): Total","2013",59.962,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Male","Age (Aggregate bands): Total","2013",72.851,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Female","Age (Aggregate bands): Total","2013",47.641,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Total","Age (Aggregate bands): Total","2012",60.362,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Male","Age (Aggregate bands): Total","2012",73.258,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Female","Age (Aggregate bands): Total","2012",48.055,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Total","Age (Aggregate bands): Total","2011",60.651,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Male","Age (Aggregate bands): Total","2011",73.98,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Female","Age (Aggregate bands): Total","2011",47.947,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Total","Age (Aggregate bands): Total","2010",60.187,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Male","Age (Aggregate bands): Total","2010",73.314,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Female","Age (Aggregate bands): Total","2010",47.689,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Total","Age (Aggregate bands): Total","2009",60.78,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Male","Age (Aggregate bands): Total","2009",73.392,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Female","Age (Aggregate bands): Total","2009",48.788,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Total","Age (Aggregate bands): Total","2008",60.428,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Male","Age (Aggregate bands): Total","2008",73.448,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Female","Age (Aggregate bands): Total","2008",48.064,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Total","Age (Aggregate bands): Total","2007",61.114,
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Male","Age (Aggregate bands): Total","2007",73.99,
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Female","Age (Aggregate bands): Total","2007",48.902,
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Total","Age (Aggregate bands): Total","2006",61.795,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Male","Age (Aggregate bands): Total","2006",74.522,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Female","Age (Aggregate bands): Total","2006",49.738,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Total","Age (Aggregate bands): Total","2005",61.511,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Male","Age (Aggregate bands): Total","2005",74.628,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Female","Age (Aggregate bands): Total","2005",49.098,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Total","Age (Aggregate bands): Total","2004",61.943,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Male","Age (Aggregate bands): Total","2004",74.613,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Female","Age (Aggregate bands): Total","2004",49.963,"Real value"
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Total","Age (Aggregate bands): Total","2003",61.018,
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Male","Age (Aggregate bands): Total","2003",73.84,
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Female","Age (Aggregate bands): Total","2003",48.903,
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Total","Age (Aggregate bands): Total","2002",60.112,
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Male","Age (Aggregate bands): Total","2002",73.072,
"Argentina","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2024 (%)","Sex: Female","Age (Aggregate bands): Total","2002",47.873,
