"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Afghanistan","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2021",49.73,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Male","Age (Aggregate bands): Total","2021",76.963,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Female","Age (Aggregate bands): Total","2021",23.3,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Angola","LFS - Employment Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2022",75.247,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Labour force participation rate by sex and age (%)","Sex: Male","Age (Aggregate bands): Total","2022",76.556,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Labour force participation rate by sex and age (%)","Sex: Female","Age (Aggregate bands): Total","2022",74.038,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2023",63.882,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Male","Age (Aggregate bands): Total","2023",70.048,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Female","Age (Aggregate bands): Total","2023",57.947,,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2023",78.454,,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Male","Age (Aggregate bands): Total","2023",90.801,,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Labour force participation rate by sex and age (%)","Sex: Female","Age (Aggregate bands): Total","2023",54.477,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Argentina","LFS - Permanent Household Survey, Urban","Labour force participation rate by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2023",62.286,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Labour force participation rate by sex and age (%)","Sex: Male","Age (Aggregate bands): Total","2023",72.223,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
