Percentile,Filter,1982 to 1992,1992 to 2002,2002 to 2012,2012 to 2022
5,Before deducting housing costs,0.006788967,0.027285153,0.004657055,0.002955553
6,Before deducting housing costs,0.008129872,0.028715956,0.005130104,0.003980832
7,Before deducting housing costs,0.00920118,0.030515333,0.005004337,0.004717317
8,Before deducting housing costs,0.010399236,0.031016517,0.00596188,0.005029776
9,Before deducting housing costs,0.010789523,0.03088671,0.006731212,0.005548407
10,Before deducting housing costs,0.012433799,0.030817486,0.007081563,0.005209354
11,Before deducting housing costs,0.013185063,0.031287882,0.007831268,0.004298107
12,Before deducting housing costs,0.013674117,0.031620013,0.007662744,0.004341461
13,Before deducting housing costs,0.014376836,0.031465623,0.008113771,0.004345656
14,Before deducting housing costs,0.014587932,0.031699579,0.008489044,0.00468374
15,Before deducting housing costs,0.015158229,0.03200598,0.008589333,0.004896849
16,Before deducting housing costs,0.015231264,0.032061357,0.008860198,0.004974307
17,Before deducting housing costs,0.015635508,0.032239436,0.00911567,0.005446771
18,Before deducting housing costs,0.015784758,0.032690975,0.009079363,0.005710423
19,Before deducting housing costs,0.016104872,0.033067144,0.008823418,0.006046387
20,Before deducting housing costs,0.016317721,0.033556158,0.008625625,0.006217632
21,Before deducting housing costs,0.01662703,0.033958587,0.007897015,0.006506538
22,Before deducting housing costs,0.016996899,0.033941364,0.007864409,0.006742968
23,Before deducting housing costs,0.017617347,0.033460516,0.007761009,0.007170475
24,Before deducting housing costs,0.018316481,0.033245237,0.007489001,0.007265534
25,Before deducting housing costs,0.018585706,0.033252105,0.007262244,0.007412634
26,Before deducting housing costs,0.019454828,0.032460031,0.007529377,0.007489734
27,Before deducting housing costs,0.020155726,0.032255286,0.007440026,0.007723878
28,Before deducting housing costs,0.020797527,0.031919082,0.00731977,0.007767105
29,Before deducting housing costs,0.021510062,0.031236025,0.007253728,0.007863684
30,Before deducting housing costs,0.021978405,0.031089451,0.007067603,0.008004218
31,Before deducting housing costs,0.022143993,0.031056671,0.007073936,0.007945842
32,Before deducting housing costs,0.023118029,0.030295022,0.006787753,0.008380449
33,Before deducting housing costs,0.024215268,0.029729113,0.006482238,0.0085856
34,Before deducting housing costs,0.024405329,0.030009953,0.006052121,0.008493226
35,Before deducting housing costs,0.025154173,0.029620572,0.00562009,0.008763749
36,Before deducting housing costs,0.025732997,0.02939424,0.005532538,0.008477897
37,Before deducting housing costs,0.026570916,0.028730344,0.005493041,0.008272001
38,Before deducting housing costs,0.026804826,0.028522895,0.005232611,0.008508231
